PublishYear,CountryName,Code,Country,Region,Income group,Population,Population(per ten Million),num_AIconf_papers,num_AIconf_citation,num_AIjournal_papers,num_AIjournal_citation,num_AIpatents_papers,num_AIpatents_citation,num_DL_papers,num_AIconf_papers_pc,num_AIconf_citation_pc,num_AIjournal_papers_pc,num_AIjournal_citation_pc,num_AIpatents_papers_pc,num_AIpatents_citation_pc,num_DL_papers_pc,skill_penetration,ai_hiring_index,ai_privateinvestment_tot,ai_privateinvestment_pc,num_AIstartups,num_AIstartups_pc,female_ai_skill_penetration,num_AIocc_fem,num_AIconf_papers_scaled,num_AIconf_citation_scaled,num_AIjournal_papers_scaled,num_AIjournal_citation_scaled,num_AIpatents_papers_scaled,num_AIpatents_citation_scaled,num_DL_papers_scaled,num_AIconf_papers_pc_scaled,num_AIconf_citation_pc_scaled,num_AIjournal_papers_pc_scaled,num_AIjournal_citation_pc_scaled,num_AIpatents_papers_pc_scaled,num_AIpatents_citation_pc_scaled,num_DL_papers_pc_scaled,skill_penetration_scaled,ai_hiring_index_scaled,ai_privateinvestment_tot_scaled,ai_privateinvestment_pc_scaled,num_AIstartups_scaled,num_AIstartups_pc_scaled,female_ai_skill_penetration_scaled,num_AIocc_fem_scaled,mean,Coverage
2016,China,CHN,CN,East Asia & Pacific,Upper middle income,1378665000,137.8665,6336.333338,58157.70001,5789.718261,115738.6563,300,2249,263,45.9599202,421.8406938,41.99510585,839.4980384,2.176018105,16.31288239,1.907642538,1.81251,1.000000001,2831398918,205372.5102,129,0.009356877849,-,-,69.25726419,16.96117257,42.09513231,48.12349564,9.231676847,8.26027978,14.63193717,5.035720817,2.924504103,5.382435704,3.72835171,1.966999167,2.205911625,1.707645722,67.25070354,4.900780324,12.87879521,2.475472462,9.867739678,1.725581409,-,-,17.9310787,95.65217391
2017,China,CHN,CN,East Asia & Pacific,Upper middle income,1386395000,138.6395,6328.303119,64410.63051,6373.922567,122785.2446,422.8333333,1396.333333,399,45.64574396,464.5907588,45.97479483,885.6440236,3.049876358,10.07168472,2.877967679,1.48519,0.9190067908,5908175762,426153.8567,188,0.01356034896,-,-,69.16998266,18.67757684,46.28533875,50.99783808,12.60771793,5.507679264,21.68115183,5.000691137,3.120358642,5.949250907,3.882186722,2.359576206,1.744538052,2.067590744,54.74151409,1.693711992,25.78724472,4.061979388,13.95521344,2.065096867,-,-,18.77522793,94.20289855
2018,China,CHN,CN,East Asia & Pacific,Upper middle income,1392730000,139.273,7127.425007,51187.76666,7225.348024,100312.7159,495.0833334,937,585,51.17592791,367.5354639,51.87902913,720.2596043,3.554768931,6.727793614,4.20038342,1.25074,1.021904253,12613518376,905668.606,345,0.02477149196,-,-,77.85574661,15.04795389,52.39218938,41.83116899,14.59348973,4.024847556,31.32198953,5.617289557,2.675710898,6.790173347,3.330851347,2.58639701,1.497344635,2.558144831,45.78153771,5.768117621,53.91914412,7.507711931,24.83205038,2.970623808,-,-,19.02026358,92.75362319
2019,China,CHN,CN,East Asia & Pacific,Upper middle income,1397715000,139.7715,9164.776895,30169.59007,10115.82935,71717.20525,515.6666667,329.6666667,961,65.56971124,215.849369,72.37404874,513.1032095,3.689354888,2.358611496,6.875507525,1.05452,0.9616838117,10254446693,733657.9126,413,0.02954822693,-,-,100,9.278548942,73.12417193,30.16690163,15.1592171,2.064238432,50.81099476,7.222151915,1.980778386,9.709217714,2.640262421,2.646859169,1.174357723,3.550490143,38.28259737,3.383583551,44.02178748,6.271664771,29.54303709,3.356441937,-,-,21.26389211,91.30434783
2020,China,CHN,CN,East Asia & Pacific,Upper middle income,1402667000,140.2667,5239.98731,5080.466667,13862.89402,28941.95955,362,136.5,1056,37.3573151,36.22004843,98.83239584,206.3352139,2.580797866,0.9731461566,7.528515321,1.05364,1.270676355,9933432648,710690.8524,310,0.02217905653,0.85812,20,57.34093084,2.391685462,100,12.7186417,10.93573015,1.440652819,55.73507853,4.076556935,1.157827179,13.47760099,1.617602316,2.148844723,1.071938744,3.792725344,38.2489664,15.61868573,42.67499055,6.106626372,22.40727782,2.761232123,19.34601551,15.14285714,17.36483432,91.30434783
2015,Denmark,DNK,DK,Europe & Central Asia,High income,5683483,0.5683483,138.3166669,1595.949997,92.82777808,1587.472221,-,-,3,243.3660255,2808.049214,163.3290327,2793.132698,-,-,5.278453371,-,-,7804292,137315.3047,3,0.05278453371,-,-,1.890182186,1.435199648,1.234175033,1.560594626,-,-,1.155497382,27.04589149,13.85664579,22.66366415,10.24110485,-,-,2.958058113,-,-,1.032557882,1.986421962,1.138558432,5.233244491,-,-,6.660621481,94.20289855
2016,Denmark,DNK,DK,Europe & Central Asia,High income,5728010,0.572801,113.9166669,1739.166662,103.6718257,2649.071429,3.5,7,11,198.8765154,3036.249347,180.9909999,4624.767466,6.110324528,12.22064906,19.20387709,0.42589,1.000000001,18384153,320951.8314,5,0.0872903504,-,-,1.624975284,1.474512047,1.311953984,1.99362683,1.082454192,1.02259758,1.570157068,22.08544861,14.90211862,25.17920533,16.34715187,3.734469306,1.903397843,8.123735818,14.25824271,4.900780324,1.076945112,3.306010895,1.277116865,8.020288298,-,-,7.721825958,92.75362319
2017,Denmark,DNK,DK,Europe & Central Asia,High income,5764980,0.576498,112.3250002,1360.883333,111.5004333,2623.135499,-,-,13,194.8402253,2360.603736,193.4099222,4550.120728,-,-,22.54994814,0.43348,0.9029940108,7899618,137027.674,5,0.08673056975,-,-,1.607675243,1.370674794,1.368104686,1.983047421,-,-,1.67382199,21.63541473,11.80672546,26.9479953,16.09830505,-,-,9.364970911,14.54830977,1.059657858,1.032957817,1.984355084,1.277116865,7.975074669,-,-,6.901495224,88.4057971
2018,Denmark,DNK,DK,Europe & Central Asia,High income,5793636,0.5793636,108.7761908,902.0166661,100.7857148,1083.042858,5,6,7,187.751165,1556.909454,173.9593492,1869.366419,8.630159023,10.35619083,12.08222263,0.6587,0.9584961058,48591070,838697.3224,12,0.2071238165,-,-,1.569102754,1.24471774,1.291253348,1.354835092,1.123681288,1.019369355,1.362827225,20.84500641,8.124691933,24.17770835,7.161582431,4.86649405,1.765569849,5.481936732,23.1555432,3.257360742,1.203676586,7.026464729,1.762071379,17.69926859,-,-,6.21200105,86.95652174
2020,Denmark,DNK,DK,Europe & Central Asia,High income,5838000,0.5838,96.49166699,136.5583335,139.3988463,265.2350653,0.5,0,30,165.2820606,233.9128701,238.778428,454.3252232,0.856457691,0,51.38746146,0.57413,1.36960924,50502777,867961.1065,9,0.1546776321,-,-,1.435580602,1.034602506,1.568206103,1.021246758,1,1,2.554973822,18.33977071,2.063534252,33.40969595,2.444316617,1.37419236,1,20.06233299,19.92353125,19.53610699,1.211697048,7.236750593,1.55423373,13.4631766,-,-,5.474262155,75.36231884
2019,Denmark,DNK,DK,Europe & Central Asia,High income,5818553,0.5818553,112.316667,505.3666669,118.1634926,1086.401586,0.5,0,-,193.0319566,868.5435483,203.0805471,1867.133608,0.8593201781,0,-,0.63531,1.093803992,41169647,707558.1678,12,0.2062368427,-,-,1.607584668,1.13583891,1.415895491,1.356205136,1,1,-,21.43379835,4.971022191,28.32535349,7.154139001,1.37547832,1,-,22.2616475,8.615114012,1.17254041,6.084115295,1.762071379,17.62762748,-,-,5.981276297,76.8115942
2015,Finland,FIN,FI,Europe & Central Asia,High income,5479531,0.5479531,175.1833336,2509.733328,130.1944449,3372.494441,66.5,352,5,319.7049777,4580.197334,237.6014386,6154.713681,121.3607515,642.3907448,9.124868533,-,-,35474876,647407.1595,3,0.0547492112,-,-,2.290890976,1.686029498,1.502187518,2.288715089,2.813992227,2.136335475,1.259162304,35.55744873,21.97553991,33.24206087,21.44747192,55.51022499,48.48801888,4.384897357,-,-,1.148648309,5.651877732,1.138558432,5.391932004,-,-,19.07824301,97.10144928
2016,Finland,FIN,FI,Europe & Central Asia,High income,5495303,0.5495303,192.6523814,3354.842852,144.8476195,3133.535715,30.83333334,189,9,350.5764494,6104.927885,263.5844092,5702.20735,56.10852276,343.9300799,16.37762285,0.69557,1.000000003,4884563,88886.14513,6,0.1091841524,-,-,2.480764421,1.918008664,1.607287439,2.191242499,1.833703498,1.610134672,1.466492147,38.99952243,28.96091871,36.94273769,19.9389698,26.19594354,26.42464732,7.07532833,24.56460411,4.90078039,1.020308318,1.638416126,1.346396081,9.788656388,-,-,15.75865672,95.65217391
2017,Finland,FIN,FI,Europe & Central Asia,High income,5508214,0.5508214,153.1186872,1664.94697,129.0522603,3244.127961,16.5,76.5,19,277.9824589,3022.6621,234.2905709,5889.618596,29.95526318,138.8834929,34.49393941,0.50126,0.910005235,34857831,632833.6372,20,0.3630940991,-,-,2.051067348,1.45413904,1.493995197,2.23635369,1.439755691,1.246959272,1.984816754,30.90551683,14.8398702,32.77050388,20.56373512,14.44670483,11.26680722,13.79563031,17.13865824,1.337279587,1.14605953,5.547154237,2.316305108,30.29702896,-,-,11.22628403,94.20289855
2018,Finland,FIN,FI,Europe & Central Asia,High income,5515525,0.5515525,161.016667,1089.800002,105.6428576,1546.347618,41.00000003,63,13,291.9335276,1975.877186,191.5372654,2803.627249,74.3356254,114.2230341,23.56983243,0.60704,1.076563244,16504459,299236.41,11,0.1994370436,-,-,2.136911559,1.29626351,1.326091214,1.543819673,2.113131594,1.203378224,1.67382199,32.46101787,10.04414473,26.68127839,10.27609011,34.38439055,9.443810318,9.743300048,21.18125282,7.932436349,1.069058958,3.149966614,1.692792162,17.07840594,-,-,11.07586065,92.75362319
2020,Finland,FIN,FI,Europe & Central Asia,High income,5528000,0.5528,93.27500038,235.0750002,143.765513,450.9842692,16,13.5,14,168.731911,425.2442116,260.06786,815.8181425,28.94356006,24.4211288,25.32561505,0.79877,1.380629822,155986034,2825673.214,11,0.1992640274,-,-,1.400618217,1.061644934,1.599526029,1.097014888,1.426013326,1.043581048,1.72565445,18.72441837,2.940096932,36.4418861,3.649410996,13.99220158,2.805304692,10.39461288,28.50859883,19.97248627,1.654246302,21.30462302,1.692792162,17.06443137,-,-,7.181809759,81.15942029
